Symbol,Date,Close
AMD,5/11/2018,11.95
AMD,5/14/2018,12.23
AMD,5/15/2018,12.45
AMD,5/16/2018,12.82
AMD,5/17/2018,12.82
AMD,5/18/2018,12.82
AMD,5/21/2018,12.99
AMD,5/22/2018,12.98
AMD,5/23/2018,13.1
AMD,5/24/2018,13.41
AMD,5/25/2018,13.54
AMD,5/29/2018,13.36
AMD,5/30/2018,13.82
AMD,5/31/2018,13.73
AMD,6/1/2018,14.4
AMD,6/4/2018,14.85
AMD,6/5/2018,14.85
AMD,6/6/2018,15.67
AMD,6/7/2018,14.89
AMD,6/8/2018,15.25
AMD,6/11/2018,15.73
AMD,6/12/2018,15.85
AMD,6/13/2018,16.32
AMD,6/14/2018,16.25
AMD,6/15/2018,16.34
AMD,6/18/2018,17.11
AMD,6/19/2018,16.69
AMD,6/20/2018,16.52
AMD,6/21/2018,15.65
AMD,6/22/2018,15.8
AMD,6/25/2018,15.11
AMD,6/26/2018,15.5
AMD,6/27/2018,14.97
AMD,6/28/2018,15.31
AMD,6/29/2018,14.99
AMD,7/2/2018,15.16
AMD,7/3/2018,15
AMD,7/5/2018,15.5
AMD,7/6/2018,16.36
AMD,7/9/2018,16.61
AMD,7/10/2018,16.55
AMD,7/11/2018,16.27
AMD,7/12/2018,16.56
AMD,7/13/2018,16.27
AMD,7/16/2018,16.58
AMD,7/17/2018,16.87
AMD,7/18/2018,16.85
AMD,7/19/2018,16.71
AMD,7/20/2018,16.5
AMD,7/23/2018,16.66
AMD,7/24/2018,16.19
AMD,7/25/2018,16.05
AMD,7/26/2018,18.35
AMD,7/27/2018,18.94
AMD,7/30/2018,19.42
AMD,7/31/2018,18.33
AMD,8/1/2018,18.48
AMD,8/2/2018,18.79
AMD,8/3/2018,18.49
AMD,8/6/2018,19.43
AMD,8/7/2018,19.56
AMD,8/8/2018,19.58
AMD,8/9/2018,19.1
AMD,8/10/2018,19.06
AMD,8/13/2018,19.73
AMD,8/14/2018,20.02
AMD,8/15/2018,19.7
AMD,8/16/2018,19.33
AMD,8/17/2018,19.77
AMD,8/20/2018,19.98
AMD,8/21/2018,20.4
AMD,8/22/2018,20.9
AMD,8/23/2018,22.29
AMD,8/24/2018,23.98
AMD,8/27/2018,25.26
AMD,8/28/2018,25.05
AMD,8/29/2018,25.2
AMD,8/30/2018,24.89
AMD,8/31/2018,25.17
AMD,9/4/2018,28.06
AMD,9/5/2018,28.51
AMD,9/6/2018,27.84
AMD,9/7/2018,27.38
AMD,9/10/2018,29.89
AMD,9/11/2018,30.1
